schema_version,type,value,raw_value,severity,tags,warning_list,description,line_numbers,evidence
1.0,bitcoin,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,low,"bitcoin,contextual",,,,
1.0,cidr,192.168.0.0/16,192.168.0.0/16,low,"cidr,contextual",,,,
1.0,cves,CVE-2021-44228,CVE-2021-44228,high,"cves,behavioral",,,,
1.0,domains,evil-domain.com,evil-domain[.]com,medium,"domains,network",,,,
1.0,emails,attacker@evil-domain.com,attacker[@]evil-domain[.]com,medium,"emails,network",,,,
1.0,hosts,evil-domain.com,evil-domain[.]com,medium,"hosts,network",,,,
1.0,sha256,9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08,9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08,medium,"sha256,artifact",,,,
1.0,urls,ftp://10.0.0.5/x,fxp://10[.]0[.]0[.]5/x,medium,"urls,network",,,,
1.0,urls,https://bad.example/path,hxxps://bad[.]example/path,medium,"urls,network",,,,
1.0,ips,10.0.0.5,10[.]0[.]0[.]5,informational,"ips,network,warning-list-match",List of RFC 1918 CIDR blocks,Event contains one or more entries part of the private network CIDR blocks (RFC 1918),,
1.0,ips,192.168.0.0,192[.]168[.]0[.]0,informational,"ips,network,warning-list-match",List of RFC 1918 CIDR blocks,Event contains one or more entries part of the private network CIDR blocks (RFC 1918),,
1.0,ips,198.51.100.23,198[.]51[.]100[.]23,informational,"ips,network,warning-list-match",List of RFC 5735 CIDR blocks,Event contains one or more entries part of the Special Use IPv4 Addresses CIDR blocks (RFC 5735),,
1.0,md5,44d88612fea8a8f36de82e1278abb02f,44d88612fea8a8f36de82e1278abb02f,informational,"md5,artifact,warning-list-match",List of hashes for EICAR test virus,Event contains one or more entries based on hashes for EICAR test virus,,
1.0,sha256,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,informational,"sha256,artifact,warning-list-match",List of known hashes with common false-positives (based on Florian Roth input list),Event contains one or more entries with common false-positives,,
